Instruction,Question,Answer
"You are a fine art wood sales consultant, please answer user questions",What is the size of the parcel for this minimalist wooden clock?,It’s shipped in a box of 28 cm x 28 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the packaging dimensions for this wooden chair set?,The set is packed in a large box measuring 120 cm x 60 cm x 80 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the package for a single wooden stool?,A single stool is shipped in a box of 45 cm x 45 cm x 50 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the size of the shipping box for this wooden dining table?,"The dining table package is quite large, at 150 cm x 80 cm x 20 cm."
"You are a fine art wood sales consultant, please answer user questions",Will the packaged coffee table fit in an SUV?,"The package measures about 110 cm in length, 60 cm in width, and 25 cm in height, so it should fit in most SUVs."
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the boxed bench?,The bench is shipped in a 140 cm x 50 cm x 40 cm box.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the packaging size for this wooden calendar holder?,"The packaging dimensions are 35 cm in length, 25 cm in width, and 5 cm in height."
"You are a fine art wood sales consultant, please answer user questions",What is the boxed size for the vintage wooden desk calendar?,It’s shipped in a compact box measuring 30 cm x 20 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the package for a personalized wooden calendar holder?,"The box measures 40 cm x 28 cm x 7 cm, ensuring it’s well protected."
"You are a fine art wood sales consultant, please answer user questions",Will the wooden calendar holder box fit in a standard drawer?,"The dimensions are 32 cm in length, 22 cm in width, and 4 cm in height, so it should fit most standard drawers."
"You are a fine art wood sales consultant, please answer user questions",What are the shipping dimensions for two wooden calendar holders?,The two holders are packed together in a box of 45 cm x 30 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the packaging for this serving tray?,It’s shipped in a secure box measuring 50 cm x 35 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the package size for a large wooden tray?,"The packaging dimensions are 60 cm in length, 40 cm in width, and 10 cm in height."
"You are a fine art wood sales consultant, please answer user questions",Is the tray packaging easy to carry?,"Yes, it’s packed in a lightweight box of 48 cm x 32 cm x 7 cm."
"You are a fine art wood sales consultant, please answer user questions",What’s the shipping size for a set of three wooden trays?,The set is packed together in a box that’s 65 cm x 45 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",Do you know the parcel dimensions for a small wooden tray?,The small tray is shipped in a 40 cm x 25 cm x 6 cm box.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for this wooden jewelry box?,The jewelry box is packaged in a box measuring 20 cm x 15 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the parcel for the keepsake wooden box?,"It’s shipped in a box of 25 cm in length, 18 cm in width, and 12 cm in height."
"You are a fine art wood sales consultant, please answer user questions",Will the gift wooden box fit in a backpack?,"The packaging is compact at 22 cm x 16 cm x 8 cm, so it should fit most backpacks."
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the boxed size for this large wooden storage box?,The large storage box is shipped in a package of 40 cm x 30 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the shipping size for a set of two wooden boxes?,The set is packaged together in a box of 35 cm x 25 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the package size for this handmade wooden ashtray?,The ashtray is shipped in a small box measuring 12 cm x 12 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the shipping box for a pair of wooden ashtrays?,The pair comes in a package of 15 cm x 15 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you give me the parcel dimensions for a round wooden ashtray?,It’s shipped in a box that’s 10 cm in diameter and 5 cm in height.
"You are a fine art wood sales consultant, please answer user questions",Is the ashtray packaging suitable for gift wrapping?,"Yes, it’s packed in a sleek box of 14 cm x 14 cm x 6 cm."
"You are a fine art wood sales consultant, please answer user questions",What’s the size of the package for a large square wooden ashtray?,It’s shipped in a box of 18 cm x 18 cm x 7 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the package dimensions for this framed wooden painting?,The framed painting is packaged in a box measuring 70 cm x 50 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How large is the parcel for a small wooden wall art piece?,The small piece is shipped in a box of 40 cm x 30 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the boxed size for a medium-sized wooden carving art?,The medium-sized artwork is packaged in a 60 cm x 45 cm x 8 cm box.
"You are a fine art wood sales consultant, please answer user questions",Will the wooden painting package fit in a car trunk?,"The dimensions are 80 cm in length, 60 cm in width, and 12 cm in height, so it should fit most car trunks."
"You are a fine art wood sales consultant, please answer user questions",What is the size of the parcel for three small wooden paintings?,The set of three paintings is shipped together in a box of 90 cm x 60 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the packaging size for this wooden worship lamp?,It’s shipped in a secure box of 35 cm x 20 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the parcel for a pair of wooden altar lamps?,The pair is packaged together in a box of 40 cm x 25 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you give me the dimensions for the boxed worship lamp?,The lamp is shipped in a box measuring 30 cm x 18 cm x 18 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the size of the package for a large wooden worship lantern?,The package measures 50 cm x 30 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the packaging for the wooden lamp durable for long-distance shipping?,"Yes, it’s packed in a sturdy box of 45 cm x 25 cm x 25 cm, designed for safe transport."
"You are a fine art wood sales consultant, please answer user questions",What are the packaging dimensions for this wooden coffee table?,The table is shipped in a sturdy box measuring 100 cm x 60 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the shipping size for a round wooden dining table?,It’s packaged in a circular box of 120 cm in diameter and 20 cm in height.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden table boxed for easy transportation?,"Yes, it comes in a compact box of 110 cm x 70 cm x 18 cm, designed for easy handling."
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a small wooden side table?,The small side table is shipped in a box measuring 80 cm x 50 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a foldable wooden table?,The foldable table is packed in a flat box of 90 cm x 60 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the shipping size for a traditional wooden chair?,It’s shipped in a box measuring 60 cm x 50 cm x 90 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the package size for a set of two wooden chairs?,The set is packaged together in a box of 120 cm x 60 cm x 100 cm.
"You are a fine art wood sales consultant, please answer user questions",How large is the parcel for a wooden rocking chair?,It’s packed in a sizable box measuring 140 cm x 70 cm x 80 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the packaging of the wooden chair safe for international shipping?,"Yes, the chair is shipped in a reinforced box of 75 cm x 65 cm x 100 cm, ideal for long-distance transport."
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the package for a kid's wooden chair?,It’s a compact parcel measuring 50 cm x 40 cm x 60 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the packaging size for a small wooden gift box?,The gift box is packed in a neat box measuring 15 cm x 10 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the parcel for a large engraved wooden gift box?,The engraved box is shipped in a package of 30 cm x 20 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Will the wooden gift box fit inside a standard gift bag?,"The dimensions are 18 cm x 12 cm x 9 cm, so it should fit most medium-sized gift bags."
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the boxed size for this personalized wooden gift box?,It’s packaged in a box measuring 25 cm x 18 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the size of the shipping package for three wooden gift boxes?,The three boxes are packed together in a box of 35 cm x 25 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you give me the packaging dimensions for a calligraphy wooden plaque?,It’s shipped in a protective box of 60 cm x 40 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the size of the package for a custom wooden calligraphy painting?,The custom piece is packaged in a box measuring 70 cm x 50 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the shipping box for a traditional calligraphy wooden artwork?,It’s shipped in a sturdy box of 80 cm x 60 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden calligraphy painting boxed securely for fragile shipping?,"Yes, it comes in a well-padded box of 75 cm x 55 cm x 7 cm."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a set of two calligraphy wooden paintings?,The set is packed together in a box of 85 cm x 65 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the packaging size for this decorative wooden lamp?,It’s shipped in a box measuring 40 cm x 25 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the dimensions of the parcel for a handcrafted wooden lamp?,The handcrafted lamp comes in a box of 45 cm x 30 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden lamp packaging compact enough for easy carrying?,"Yes, the box dimensions are 35 cm x 20 cm x 20 cm, making it easy to carry."
"You are a fine art wood sales consultant, please answer user questions",What’s the size of the package for a set of two decorative wooden lamps?,The set is packaged in a box of 50 cm x 35 cm x 35 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you give me the shipping dimensions for a small bedside wooden lamp?,It’s shipped in a box measuring 30 cm x 18 cm x 18 cm.
"You are a fine art wood sales consultant, please answer user questions",How large is the package for a small wooden bookshelf?,The bookshelf is shipped in a box of 100 cm x 60 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the boxed size for a wall-mounted wooden bookshelf?,It’s packaged in a flat box of 80 cm x 40 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the shipping dimensions for a large wooden bookshelf?,The large bookshelf comes in a box measuring 150 cm x 70 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",Will the wooden bookshelf package fit through a standard doorway?,"Yes, the box dimensions are 120 cm x 60 cm x 18 cm, so it should fit most doorways."
"You are a fine art wood sales consultant, please answer user questions",What is the size of the parcel for a DIY wooden bookshelf kit?,It’s shipped in a box of 90 cm x 50 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the packaging size for this compact wooden altar table?,It’s shipped in a secure box measuring 100 cm x 50 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the shipping box for a traditional wooden altar table?,The traditional table is packaged in a box of 120 cm x 60 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the parcel dimensions for a foldable wooden altar table?,It’s packed in a flat box of 110 cm x 55 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden altar table boxed safely for fragile shipping?,"Yes, it’s shipped in a reinforced box of 130 cm x 65 cm x 30 cm."
"You are a fine art wood sales consultant, please answer user questions",What is the size of the package for a large wooden altar table set?,The set is packaged together in a box measuring 150 cm x 80 cm x 35 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the packaging size for this small wooden tea box?,The tea box is packed in a box of 20 cm x 15 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you provide the shipping size for a large wooden tea storage box?,It’s shipped in a box measuring 30 cm x 25 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the parcel for a set of wooden tea boxes?,The set is packaged in a box of 35 cm x 30 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Will the wooden tea box fit in a small gift bag?,"Yes, the packaging is 18 cm x 12 cm x 7 cm, perfect for a small gift bag."
"You are a fine art wood sales consultant, please answer user questions",What is the size of the package for a custom engraved wooden tea box?,It’s shipped in a box of 25 cm x 18 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How large is the packaging for the small wooden Buddha statue?,It’s shipped in a secure box of 40 cm x 30 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the boxed size of a medium-sized wooden sculpture?,The medium sculpture is packaged in a box measuring 60 cm x 40 cm x 35 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the shipping dimensions for a wooden dragon carving?,It’s packed in a reinforced box of 50 cm x 25 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the packaging size for a handcrafted wooden angel figurine?,The figurine is shipped in a box of 45 cm x 20 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the large wooden statue boxed with enough padding?,"Yes, it’s securely packed in a box of 70 cm x 50 cm x 40 cm with extra padding."
"You are a fine art wood sales consultant, please answer user questions",What are the package dimensions for a small wooden stand?,It’s shipped in a compact box of 30 cm x 30 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the boxed size for a tall wooden pedestal?,The pedestal comes in a box of 60 cm x 30 cm x 60 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the shipping box for a wooden plant stand?,It’s packed in a box measuring 50 cm x 25 cm x 40 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden stand packaging designed for safe transport?,"Yes, the packaging is 40 cm x 35 cm x 20 cm and includes protective material."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a decorative wooden stand?,It’s shipped in a box of 55 cm x 35 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the package for a large wooden storage box?,The storage box is shipped in a box of 50 cm x 40 cm x 35 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the packaging size for a small decorative wooden box?,It’s packaged in a neat box of 20 cm x 15 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the shipping box for a wooden jewelry chest?,The jewelry chest comes in a box of 25 cm x 20 cm x 18 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the size of the parcel for a personalized wooden keepsake box?,It’s packed in a box measuring 30 cm x 25 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the packaging of the wooden storage box compact for easy gift wrapping?,"Yes, the packaging dimensions are 22 cm x 18 cm x 12 cm, perfect for wrapping."
"You are a fine art wood sales consultant, please answer user questions",What is the packaging size for a standard wooden wall clock?,It’s shipped in a square box of 35 cm x 35 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the parcel dimensions for a large wooden wall clock?,The large clock is packaged in a box of 45 cm x 45 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the box for a small decorative wooden clock?,It’s packed in a box of 25 cm x 25 cm x 7 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden wall clock boxed securely for fragile shipping?,"Yes, it’s well-protected in a box of 40 cm x 40 cm x 9 cm with cushioning."
"You are a fine art wood sales consultant, please answer user questions",What are the shipping dimensions for a custom wooden clock with engraving?,It’s packed in a box of 38 cm x 38 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a wooden tea set?,The tea set is shipped in a box of 40 cm x 30 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a traditional wooden tea tray?,It’s packaged in a box measuring 50 cm x 35 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the shipping size of a wooden teapot and cup set?,The set comes in a box of 45 cm x 25 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the size of the package for a wooden tea serving set?,It’s packed in a box of 55 cm x 40 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden tea set packaging compact for easy storage?,"Yes, the box dimensions are 42 cm x 28 cm x 10 cm."
"You are a fine art wood sales consultant, please answer user questions",How large is the shipping box for a rectangular wooden tray?,It’s shipped in a box of 35 cm x 25 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the package dimensions for a set of wooden serving trays?,The set is packaged together in a box of 40 cm x 30 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the shipping size for a wooden tray with handles?,It’s packed in a box measuring 30 cm x 20 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you give me the boxed size for a round wooden tray?,The round tray is packaged in a circular box of 35 cm in diameter and 7 cm in height.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden tray packaging durable for long-distance shipping?,"Yes, it’s packed in a reinforced box of 38 cm x 28 cm x 8 cm."
"You are a fine art wood sales consultant, please answer user questions",What is the shipping size for a wooden floor vase?,It’s packed in a box of 80 cm x 20 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the parcel for a small wooden table vase?,It’s shipped in a compact box of 25 cm x 12 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the packaging dimensions for a pair of wooden vases?,The pair is packaged in a box of 45 cm x 25 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the boxed size for an engraved wooden vase?,It’s shipped in a box of 30 cm x 15 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the packaging of the wooden vase designed for fragile items?,"Yes, it’s well-protected in a box of 35 cm x 18 cm x 18 cm with cushioning."
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the shipping size for a small wooden ashtray?,It’s usually packaged in a box of 15 cm x 15 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the box for a custom-made wooden ashtray?,It’s shipped in a secure box of 20 cm x 20 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a set of two wooden ashtrays?,The set comes in a box of 25 cm x 15 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden ashtray packaged with enough padding for safe shipping?,"Yes, it’s well-protected in a box of 18 cm x 18 cm x 9 cm with extra padding."
"You are a fine art wood sales consultant, please answer user questions",What is the parcel size for a large wooden ashtray?,It’s packed in a box measuring 22 cm x 22 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the packaging size for a framed wooden painting?,The framed painting is shipped in a box of 70 cm x 50 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you provide the boxed dimensions for a medium-sized wooden artwork?,It’s packed in a box of 60 cm x 40 cm x 4 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the shipping box for a set of small wooden panels?,The set is packaged together in a box of 50 cm x 30 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the packaging for the wooden wall art suitable for international shipping?,"Yes, it’s securely packed in a box of 75 cm x 55 cm x 7 cm with additional padding."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a custom wooden painting?,It’s shipped in a box measuring 65 cm x 45 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the package size for a traditional wooden temple lamp?,It’s packaged in a box of 40 cm x 20 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the shipping box for a pair of wooden altar lamps?,The pair is shipped in a box of 50 cm x 30 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the boxed dimensions for a large wooden prayer lamp?,It’s packed in a box of 45 cm x 25 cm x 35 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden lamp packaging designed to prevent damage during shipping?,"Yes, it’s carefully packed in a box of 42 cm x 22 cm x 28 cm with foam inserts."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a small wooden temple lamp?,It’s shipped in a box measuring 35 cm x 18 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a compact wooden chair?,The chair is shipped in a box of 80 cm x 40 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the shipping size for a wooden coffee table?,It’s packaged in a box of 100 cm x 60 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you provide the boxed size for a small wooden dining table set?,"The set is shipped in two boxes, each measuring 120 cm x 80 cm x 25 cm."
"You are a fine art wood sales consultant, please answer user questions",Is the wooden chair set packaging compact enough for easy transport?,"Yes, each chair is packed in a box of 75 cm x 45 cm x 35 cm."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a handcrafted wooden table?,It’s shipped in a box of 130 cm x 70 cm x 40 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the size of the package for a small wooden tea box?,It’s shipped in a box of 18 cm x 12 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a personalized wooden tea chest?,It’s packed in a box of 25 cm x 18 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you tell me the dimensions of the shipping box for a large tea storage box?,It’s packaged in a box of 30 cm x 20 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the tea box packaging sturdy enough for international delivery?,"Yes, the box measures 28 cm x 16 cm x 10 cm and includes bubble wrap."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a gift-sized wooden tea box?,It’s shipped in a box of 20 cm x 14 cm x 9 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you give me the boxed size for a small wooden calendar stand?,It’s packaged in a box of 15 cm x 10 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the parcel size for a large wooden desk calendar?,It’s shipped in a box of 25 cm x 18 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a personalized wooden calendar stand?,The stand is shipped in a box of 20 cm x 12 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden calendar stand packaged securely for fragile items?,"Yes, it’s packed in a box of 22 cm x 15 cm x 7 cm with padding."
"You are a fine art wood sales consultant, please answer user questions",What are the shipping dimensions for a handcrafted wooden wall calendar?,It’s packaged in a box of 30 cm x 20 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the box for a traditional wooden tea tray?,It’s shipped in a box of 45 cm x 30 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the packaging size for a small wooden tea serving tray?,It’s packed in a box of 35 cm x 25 cm x 4 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the shipping dimensions for a large decorative wooden tray?,It’s packaged in a box of 55 cm x 35 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the tea tray packaging compact enough for easy storage?,"Yes, the box dimensions are 40 cm x 28 cm x 5 cm."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a premium wooden tea tray?,It’s shipped in a box of 50 cm x 32 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the packaging size for a small wooden sculpture?,It’s shipped in a box of 25 cm x 20 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the shipping box for a medium-sized wooden statue?,The box dimensions are 35 cm x 30 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the parcel size for a large wooden sculpture?,It’s packed in a box of 50 cm x 40 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden sculpture packaging sturdy enough for safe delivery?,"Yes, it’s securely packaged in a box of 45 cm x 35 cm x 25 cm with foam padding."
"You are a fine art wood sales consultant, please answer user questions",How do you ship a delicate wooden statue?,It’s shipped in a reinforced box measuring 40 cm x 30 cm x 20 cm with bubble wrap and corner protectors.
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the box for a small wooden wall clock?,It’s packed in a box of 30 cm x 30 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a large wooden clock?,The box is 40 cm x 40 cm x 15 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you provide the box size for a wooden mantel clock?,It’s shipped in a box of 35 cm x 35 cm x 12 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the parcel size for a set of two wooden clocks?,The set is packaged in a box of 50 cm x 40 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden clock well-protected during shipping?,"Yes, it’s securely packed in a box of 45 cm x 30 cm x 15 cm with extra cushioning."
"You are a fine art wood sales consultant, please answer user questions",What are the shipping dimensions for a small wooden serving tray?,It’s packed in a box of 30 cm x 25 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the parcel size for a large decorative wooden tray?,It’s shipped in a box of 50 cm x 35 cm x 8 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a traditional wooden tea tray?,The tray is packaged in a box of 40 cm x 30 cm x 6 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the size of the box for a set of wooden trays?,The set is packaged in a box of 60 cm x 45 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden tray packaging compact for storage?,"Yes, the box measures 35 cm x 28 cm x 5 cm for easy storage."
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the shipping box for a small wooden jewelry box?,It’s packed in a box of 20 cm x 15 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a large wooden keepsake box?,The box is 35 cm x 30 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the parcel size for a wooden storage box?,It’s packed in a box of 45 cm x 40 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the size of the box for a decorative wooden box set?,The set is shipped in a box of 50 cm x 45 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden box shipped with extra protection?,"Yes, it’s securely packed in a box of 40 cm x 35 cm x 20 cm with padding material."
"You are a fine art wood sales consultant, please answer user questions",What is the packaging size for a small wooden vase?,It’s packed in a box of 15 cm x 15 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the box for a tall wooden vase?,The box dimensions are 20 cm x 20 cm x 50 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the size of the shipping box for a set of wooden vases?,The set is shipped in a box of 30 cm x 30 cm x 40 cm.
"You are a fine art wood sales consultant, please answer user questions",Is the wooden vase packaging designed to prevent any damage?,"Yes, the box is 25 cm x 25 cm x 35 cm with foam inserts for protection."
"You are a fine art wood sales consultant, please answer user questions",What are the parcel dimensions for a decorative wooden vase?,It’s packed in a box of 25 cm x 25 cm x 45 cm.
"You are a fine art wood sales consultant, please answer user questions",What is the size of the box for a wooden dining chair?,The box measures 80 cm x 45 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a wooden dining table?,It’s packed in a box of 120 cm x 80 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you provide the parcel size for a set of two wooden chairs?,The set is shipped in a box of 90 cm x 50 cm x 20 cm.
"You are a fine art wood sales consultant, please answer user questions",What are the dimensions of the box for a coffee table?,It’s shipped in a box of 100 cm x 60 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",How is the wooden table and chair set packaged for shipping?,"The table and chairs are packed in separate boxes: the table box is 130 cm x 80 cm x 35 cm, and the chair box is 90 cm x 50 cm x 40 cm."
"You are a fine art wood sales consultant, please answer user questions",What are the shipping dimensions for a small wooden Buddha statue?,It’s packed in a box of 20 cm x 15 cm x 25 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a medium-sized Buddha sculpture?,The box measures 30 cm x 25 cm x 40 cm.
"You are a fine art wood sales consultant, please answer user questions",Can you provide the parcel size for a large wooden Buddha statue?,It’s shipped in a box of 50 cm x 40 cm x 60 cm.
"You are a fine art wood sales consultant, please answer user questions",What’s the shipping size for a carved wooden Buddha head?,The carved head is packaged in a box of 25 cm x 25 cm x 30 cm.
"You are a fine art wood sales consultant, please answer user questions",How is the wooden Buddha statue protected during shipping?,It’s securely packed in a box of 45 cm x 35 cm x 50 cm with bubble wrap and foam inserts.
"You are a fine art wood sales consultant, please answer user questions",What is the shipping size for a wooden bracelet set?,The set is packed in a box of 20 cm x 15 cm x 10 cm.
"You are a fine art wood sales consultant, please answer user questions",How big is the packaging for a single wooden bracelet?,The bracelet is shipped in a box of 10 cm x 10 cm x 5 cm.
"You are a fine art wood sales consultant, please answer user questions",Could you tell me the dimensions of the parcel for a wooden bangle?,It’s packed in a box of 15 cm x 15 cm x 8 cm.
